CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Point Earned,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,Card Type_DIAMOND,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Surname,Exited
619,32,4,175406.13,2,1,1,172792.43,1,707,False,False,True,True,False,True,False,False,False,Gordon,1
643,34,7,160426.07,1,0,1,188533.11,3,806,False,True,False,True,False,False,True,False,False,Wallace,0
561,33,6,0.0,2,0,0,173680.39,3,220,True,False,False,False,True,True,False,False,False,McLean,0
618,41,8,37702.79,1,1,1,195775.48,5,615,False,True,False,False,True,False,True,False,False,Archer,0
714,37,9,148466.93,2,0,1,151280.96,3,936,True,False,False,False,True,False,False,False,True,Aksenov,0
760,41,6,0.0,2,0,0,101491.23,4,873,False,False,True,True,False,False,False,False,True,Sutherland,0
770,37,5,141547.26,2,0,1,180326.83,2,890,False,True,False,False,True,True,False,False,False,Langdon,0
537,41,3,138306.34,1,1,0,106761.47,5,767,False,True,False,True,False,True,False,False,False,Ko,0
597,26,7,0.0,2,1,0,110253.2,4,235,False,False,True,True,False,False,False,False,True,Tuan,0
710,36,4,116085.06,1,1,0,58601.61,1,306,True,False,False,True,False,True,False,False,False,Sparks,0
704,44,9,153656.85,1,1,0,158742.81,5,890,False,False,True,True,False,False,False,True,False,Creel,0
822,38,6,128289.7,3,1,0,9149.96,3,799,True,False,False,False,True,True,False,False,False,Lin,1
543,31,2,147674.26,1,1,1,16658.76,3,985,True,False,False,True,False,True,False,False,False,Monaldo,0
829,37,3,103457.76,1,0,0,1114.12,3,287,False,True,False,True,False,False,False,True,False,Milanesi,0
611,40,8,100812.33,2,1,0,147358.27,2,927,True,False,False,True,False,True,False,False,False,Ankudinov,0
743,40,6,0.0,1,1,0,28280.8,2,744,True,False,False,True,False,False,False,True,False,Calabresi,1
769,38,2,0.0,2,0,0,75578.67,5,829,True,False,False,True,False,False,False,False,True,Little,0
704,38,6,106687.76,1,1,0,173776.5,4,546,False,False,True,False,True,False,True,False,False,Robertson,0
715,34,4,124314.45,1,0,0,97782.92,2,874,True,False,False,False,True,False,False,False,True,Ndubueze,0
642,41,4,157777.58,1,1,0,67484.6,5,720,False,True,False,False,True,True,False,False,False,Hu,0
758,47,9,95523.16,1,1,0,73294.48,1,810,False,True,False,True,False,True,False,False,False,Muecke,0
562,38,5,0.0,1,1,0,115700.2,4,814,True,False,False,False,True,False,False,True,False,Leonard,0
640,29,4,0.0,2,1,0,44904.26,3,758,True,False,False,True,False,False,True,False,False,Hsiao,0
513,49,5,171601.27,1,1,0,126223.84,3,844,False,True,False,True,False,False,False,True,False,Yates,0
487,33,8,145729.71,1,1,0,41365.85,2,675,False,False,True,False,True,True,False,False,False,Y?an,0
699,34,2,117468.67,1,1,0,185227.42,5,825,True,False,False,False,True,False,True,False,False,Chinedum,0
558,58,2,142537.18,1,1,1,88791.83,3,487,False,True,False,False,True,True,False,False,False,Lennox,0
778,24,4,0.0,2,1,1,162809.2,3,945,True,False,False,False,True,True,False,False,False,Mullawirraburka,0
516,35,10,57369.61,1,1,1,101699.77,5,771,True,False,False,False,True,False,False,True,False,Johnstone,0
774,35,3,121418.62,1,1,1,24400.37,4,981,True,False,False,True,False,True,False,False,False,Dyer,0
536,35,8,0.0,2,1,0,64833.28,2,345,True,False,False,False,True,False,True,False,False,Padovano,0
602,42,6,158414.85,1,1,1,131886.46,5,807,False,True,False,True,False,False,True,False,False,Chinweike,0
741,29,8,0.0,2,1,1,115994.52,5,854,True,False,False,False,True,False,False,True,False,Hernandez,0
850,23,9,143054.85,1,0,1,62980.96,3,930,False,False,True,True,False,False,False,True,False,Maggard,0
737,43,8,96353.8,1,0,0,10209.8,1,373,False,True,False,False,True,True,False,False,False,Moretti,0
570,39,10,129674.89,2,1,0,80552.36,3,723,True,False,False,False,True,True,False,False,False,T'ao,0
582,32,4,0.0,2,1,0,59668.81,4,727,True,False,False,True,False,False,False,False,True,Pinto,0
